Date,Price,Open,High,Low,Change %
17-Jan-19,6.7764,6.7465,6.7797,6.7465,0.29%
16-Jan-19,6.7568,6.7729,6.7824,6.755,-0.06%
15-Jan-19,6.761,6.7465,6.7613,6.7392,-0.10%
14-Jan-19,6.768,6.7434,6.7714,6.735,0.07%
11-Jan-19,6.763,6.7933,6.7934,6.7394,-0.38%
10-Jan-19,6.7885,6.8173,6.8235,6.7733,-0.41%
9-Jan-19,6.8165,6.8485,6.8485,6.8165,-0.54%
8-Jan-19,6.8532,6.8443,6.8623,6.8438,0.03%
7-Jan-19,6.851,6.8507,6.8531,6.844,-0.26%
4-Jan-19,6.8692,6.8687,6.8737,6.8639,-0.04%
3-Jan-19,6.872,6.8639,6.8839,6.8639,0.15%
2-Jan-19,6.862,6.8631,6.8694,6.8506,-0.24%
1-Jan-19,6.8785,6.8785,6.8785,6.8785,0.00%
31-Dec-18,6.8785,6.8785,6.8785,6.8785,0.00%
28-Dec-18,6.8785,6.8648,6.8785,6.85,0.18%
27-Dec-18,6.8663,6.8899,6.8964,6.8635,-0.28%
26-Dec-18,6.8854,6.8873,6.8919,6.8761,-0.03%
25-Dec-18,6.8872,6.8961,6.8979,6.8765,-0.17%
24-Dec-18,6.8991,6.9078,6.9131,6.8949,-0.11%
21-Dec-18,6.9065,6.8818,6.9078,6.8818,0.31%
20-Dec-18,6.8851,6.905,6.915,6.8836,-0.10%
19-Dec-18,6.8922,6.8908,6.8983,6.8873,-0.04%
18-Dec-18,6.8951,6.8917,6.9017,6.8882,-0.03%
17-Dec-18,6.8972,6.9009,6.9035,6.8927,-0.15%
14-Dec-18,6.9077,6.8883,6.9078,6.8869,0.38%
13-Dec-18,6.8816,6.8776,6.8837,6.8641,0.02%
12-Dec-18,6.88,6.8849,6.8951,6.8769,-0.29%
11-Dec-18,6.9,6.9185,6.9185,6.895,-0.17%
10-Dec-18,6.9117,6.8918,6.9181,6.8861,0.52%
7-Dec-18,6.8757,6.88,6.8919,6.8682,-0.10%
6-Dec-18,6.8827,6.8559,6.897,6.8559,0.38%
5-Dec-18,6.8567,6.8518,6.8712,6.8458,0.28%
4-Dec-18,6.8373,6.8835,6.8915,6.8338,-0.66%
3-Dec-18,6.883,6.9275,6.9367,6.883,-1.11%
30-Nov-18,6.9605,6.9496,6.9605,6.9449,0.26%
29-Nov-18,6.9425,6.9437,6.9477,6.9353,-0.16%
28-Nov-18,6.9539,6.9499,6.9574,6.9499,0.03%
27-Nov-18,6.9515,6.9491,6.9552,6.9446,0.15%
26-Nov-18,6.9408,6.9466,6.9481,6.9341,-0.11%
23-Nov-18,6.9485,6.9328,6.9496,6.932,0.24%
22-Nov-18,6.9319,6.9317,6.9389,6.923,0.07%
21-Nov-18,6.927,6.9435,6.9519,6.927,-0.26%
20-Nov-18,6.9452,6.9439,6.9469,6.9367,0.05%
19-Nov-18,6.942,6.9348,6.9472,6.9347,0.06%
16-Nov-18,6.938,6.9392,6.9518,6.9297,-0.02%
15-Nov-18,6.9393,6.9428,6.9473,6.9329,-0.16%
14-Nov-18,6.9505,6.9491,6.9551,6.9463,-0.08%
13-Nov-18,6.956,6.9657,6.971,6.9496,-0.11%
12-Nov-18,6.9635,6.9519,6.9704,6.949,0.10%
9-Nov-18,6.9568,6.9399,6.9568,6.9399,0.32%
8-Nov-18,6.9345,6.9254,6.9394,6.9254,0.21%
7-Nov-18,6.92,6.9256,6.9435,6.9145,0.01%
6-Nov-18,6.9195,6.9268,6.9307,6.9136,-0.09%
5-Nov-18,6.9257,6.8902,6.9309,6.8902,0.51%
2-Nov-18,6.8907,6.9108,6.9328,6.8689,-0.47%
1-Nov-18,6.9234,6.9685,6.9723,6.9216,-0.75%
31-Oct-18,6.9756,6.968,6.9783,6.9638,0.12%
30-Oct-18,6.9672,6.9615,6.972,6.9592,0.08%
29-Oct-18,6.9619,6.9402,6.9629,6.9401,0.26%
26-Oct-18,6.9435,6.9535,6.9652,6.9351,-0.08%
25-Oct-18,6.9489,6.9443,6.9527,6.9422,0.07%
24-Oct-18,6.944,6.9405,6.9456,6.9369,0.08%
23-Oct-18,6.9383,6.9454,6.9455,6.9357,-0.13%
22-Oct-18,6.9474,6.9319,6.9478,6.9319,0.26%
19-Oct-18,6.9297,6.9402,6.9422,6.9267,-0.11%
18-Oct-18,6.9376,6.9349,6.9429,6.934,0.15%
17-Oct-18,6.9275,6.9115,6.9298,6.9114,0.22%
16-Oct-18,6.912,6.9153,6.9277,6.9071,-0.07%
15-Oct-18,6.9168,6.9232,6.9336,6.9164,-0.08%
12-Oct-18,6.9225,6.8914,6.9322,6.8914,0.47%
11-Oct-18,6.8899,6.9243,6.935,6.8899,-0.50%
10-Oct-18,6.9242,6.9227,6.9258,6.9169,0.02%
9-Oct-18,6.9227,6.93,6.93,6.9082,-0.12%
8-Oct-18,6.9307,6.904,6.9338,6.8947,0.90%
5-Oct-18,6.8689,6.8689,6.8689,6.8689,0.00%
4-Oct-18,6.8689,6.8689,6.8689,6.8689,0.00%
3-Oct-18,6.8689,6.8689,6.8689,6.8689,0.00%
2-Oct-18,6.8689,6.8689,6.8689,6.8689,0.00%
1-Oct-18,6.8689,6.8689,6.8689,6.8689,0.00%
28-Sep-18,6.8689,6.8872,6.8905,6.8678,-0.31%
27-Sep-18,6.8902,6.8788,6.8933,6.87,0.17%
26-Sep-18,6.8786,6.8748,6.8803,6.8708,0.18%
25-Sep-18,6.8665,6.8608,6.8842,6.8605,0.14%
24-Sep-18,6.8571,6.8571,6.8571,6.8571,0.00%
21-Sep-18,6.8571,6.8357,6.8604,6.8337,0.15%
20-Sep-18,6.8468,6.8515,6.8583,6.8403,-0.02%
19-Sep-18,6.8483,6.8653,6.8676,6.8473,-0.19%
18-Sep-18,6.8616,6.8552,6.8807,6.8552,0.07%
17-Sep-18,6.857,6.8695,6.8781,6.8558,-0.17%
14-Sep-18,6.869,6.8447,6.869,6.8447,0.35%
13-Sep-18,6.8448,6.8368,6.8541,6.8282,-0.23%
12-Sep-18,6.8606,6.8736,6.8826,6.8606,-0.18%
11-Sep-18,6.873,6.8656,6.8791,6.8582,0.25%
10-Sep-18,6.8556,6.8479,6.8667,6.8479,0.17%
7-Sep-18,6.8438,6.8332,6.8498,6.8265,0.12%
6-Sep-18,6.8355,6.8298,6.8424,6.8239,0.07%
5-Sep-18,6.8305,6.8303,6.8469,6.8292,-0.20%
4-Sep-18,6.8442,6.824,6.8453,6.8061,0.31%
3-Sep-18,6.8228,6.8434,6.8469,6.8174,-0.13%
31-Aug-18,6.8315,6.8472,6.8485,6.823,-0.19%
30-Aug-18,6.8445,6.8216,6.8446,6.8216,0.34%
29-Aug-18,6.8213,6.8012,6.8299,6.8012,0.27%
28-Aug-18,6.803,6.8134,6.8214,6.7984,-0.18%
27-Aug-18,6.8156,6.8168,6.8266,6.8064,0.13%
24-Aug-18,6.807,6.8755,6.8947,6.807,-1.03%
23-Aug-18,6.8777,6.8559,6.8799,6.8557,0.52%
22-Aug-18,6.8418,6.8388,6.849,6.8388,-0.08%
21-Aug-18,6.8472,6.8382,6.8523,6.8338,-0.15%
20-Aug-18,6.8578,6.8625,6.8693,6.8467,-0.29%
17-Aug-18,6.8775,6.8687,6.8967,6.8687,-0.07%
16-Aug-18,6.8825,6.9227,6.9227,6.8816,-0.75%
15-Aug-18,6.9348,6.8921,6.9348,6.8877,0.74%
14-Aug-18,6.8842,6.8872,6.8972,6.8799,-0.10%
13-Aug-18,6.8913,6.8762,6.8914,6.87,0.64%
10-Aug-18,6.8472,6.836,6.8609,6.8308,0.38%
9-Aug-18,6.821,6.8276,6.8381,6.813,-0.22%
8-Aug-18,6.8357,6.8067,6.8414,6.8002,0.06%
7-Aug-18,6.8318,6.851,6.8658,6.8223,-0.32%
6-Aug-18,6.8535,6.8276,6.8541,6.801,0.30%
3-Aug-18,6.8332,6.8584,6.8949,6.8332,-0.14%
2-Aug-18,6.8428,6.8094,6.8514,6.8093,0.29%
1-Aug-18,6.8227,6.8294,6.8369,6.7957,0.15%
31-Jul-18,6.8127,6.8349,6.845,6.8127,-0.03%
30-Jul-18,6.815,6.8208,6.8437,6.815,0.02%
27-Jul-18,6.8137,6.808,6.8409,6.8018,0.31%
26-Jul-18,6.7927,6.7424,6.7958,6.7423,0.34%
25-Jul-18,6.7697,6.7951,6.8088,6.7573,-0.32%
24-Jul-18,6.7915,6.8145,6.8248,6.7914,-0.02%
23-Jul-18,6.793,6.7535,6.7965,6.7404,0.33%
20-Jul-18,6.7709,6.779,6.8155,6.7699,-0.06%
19-Jul-18,6.7751,6.7249,6.7881,6.7242,0.83%
18-Jul-18,6.7196,6.7065,6.7233,6.6986,0.20%
17-Jul-18,6.7065,6.6931,6.7081,6.676,0.23%
16-Jul-18,6.6911,6.6919,6.7087,6.6751,-0.01%
13-Jul-18,6.6917,6.6578,6.7054,6.6525,0.36%
12-Jul-18,6.6677,6.7023,6.7063,6.6634,-0.20%
11-Jul-18,6.6812,6.6734,6.6832,6.6563,0.77%
10-Jul-18,6.6299,6.5983,6.6353,6.5983,0.21%
